#DUMP_OFFSET.I,ELAPSED_USECS.D,ELAPSED_TICKS.I,CMD.S,INFLIGHT_IOS.I,TS.I,SEQID.I,LUN_SSID.I,OP.I,PHASE.I,LBA.I,NBLKS.I,LATENCY_TICKS.I,HOST_ID.I,HOST_LUN.I,LATENCY_USECS.D
4124,50,822590674,RD,2,822590674,5001,6,0,0,2,2,426600,7,6,200
4152,100,822612004,RD,3,822612004,5002,6,0,0,4,2,426600,7,6,200
4180,150,822633334,RD,4,822633334,5003,6,0,0,6,2,426600,7,6,200
4208,200,822654664,RD,5,822654664,5004,6,0,0,8,2,426600,7,6,200
4236,250,822675994,RD,6,822675994,5005,6,0,0,10,2,426600,7,6,200
4264,300,822697324,RD,7,822697324,5006,6,0,0,12,2,426600,7,6,200
4292,350,822718654,RD,8,822718654,5007,6,0,0,14,2,426600,7,6,200
4320,400,822739984,RD,9,822739984,5008,6,0,0,16,2,426600,7,6,200
4348,450,822761314,RD,10,822761314,5009,6,0,0,18,2,426600,7,6,200
4376,500,822782644,RD,11,822782644,5010,6,0,0,20,2,426600,7,6,200
4404,550,822803974,RD,12,822803974,5011,6,0,0,22,2,426600,7,6,200
4432,600,822825304,RD,13,822825304,5012,6,0,0,24,2,426600,7,6,200
4460,650,822846634,RD,14,822846634,5013,6,0,0,26,2,426600,7,6,200
4488,700,822867964,RD,15,822867964,5014,6,0,0,28,2,426600,7,6,200
4516,750,822889294,RD,16,822889294,5015,6,0,0,30,2,426600,7,6,200
4544,800,822910624,RD,17,822910624,5016,6,0,0,32,2,426600,7,6,200
4572,850,822931954,RD,18,822931954,5017,6,0,0,34,2,426600,7,6,200
4600,900,822953284,RD,19,822953284,5018,6,0,0,36,2,426600,7,6,200
4628,950,822974614,RD,20,822974614,5019,6,0,0,38,2,426600,7,6,200
